Rank,Name,Dominant operational format,Retail revenue (US$ millions),Net profit margin,Headquarters,Country
1,Walmart,Hypermarket/Supercenter/Superstore,"559,151",2.5%,Bentonville,United States
2,Amazon,Non-store (E-commerce),"213,573",5.5%,Seattle,United States
3,Costco,Cash & Carry/Warehouse Club,"166,761",2.4%,Issaquah,United States
4,Schwarz Gruppe,Discount store,"167,200",...,Neckarsulm,Germany
5,The Home Depot,Home improvement,"132,110",9.7%,Atlanta,United States
6,The Kroger Company,Supermarket,"131,620",2.0%,Cincinnati,United States
7,Walgreens Boots Alliance,Drug store/Pharmacy,"117,705",0.3%,Deerfield,United States
8,Aldi,Discount store,"117,047",...,Essen and Mülheim,Germany
9,JD.com,Non-store,"94,423",6.6%,Beijing,China
10,Target Corporation,Discount department store,"92,400",4.7%,Minneapolis,United States
11,CVS Health,Drug store/Pharmacy,"91,198",...,Woonsocket,United States
12,Lowe's,Home improvement,"89,597",6.5%,Mooresville,United States
13,Ahold Delhaize,Supermarket,"85,177",1.9%,Zaandam,Netherlands
14,Æon,Hypermarket/Supercenter/Superstore,"75,077",-0.4%,Chiba,Japan
15,Tesco,Hypermarket/Supercenter/Superstore,"73,888",10.6%,Welwyn Garden City,United Kingdom
16,Albertsons,Supermarket,"69,690",1.2%,Boise,United States
17,Edeka,Supermarket,"68,268",...,Hamburg,Germany
18,Rewe Group,Supermarket,"61,853",0.6%,Cologne,Germany
19,Seven & I Holdings,Convenience/Forecourt store,"52,317",3.4%,Tokyo,Japan
20,Best Buy,Electronics store,"47,262",3.8%,Richfield,United States
21,Publix,Supermarket,"45,204",8.8%,Lakeland,United States
22,E.Leclerc,Hypermarket/Supercenter/Superstore,"44,676",...,Ivry-sur-Seine,France
23,Woolworths Group,Supermarket,"41,533",3.8%,Sydney,Australia
24,IKEA,Furniture speciality,"39,174",3.2%,Delft,Netherlands
25,Loblaw Companies,Hypermarket/Supercenter/Superstore,"38,663",2.3%,Brampton,Canada
26,Intermarché,Supermarket,"37,496",...,Bondoufle,France
27,Sainsbury's,Hypermarket/Supercenter/Superstore,"36,997",-1.0%,London,United Kingdom
